n,delta_canonical,delta_phase
3,0.4641016151377546,0.4641016151377546
4,2.220446049250313e-16,2.220446049250313e-16
5,0.48745718453154174,0.48745718453154174
6,0.4641016151377546,0.4641016151377546
7,0.493652404307133,0.493652404307133
8,0.5,0.41421356237309503
9,0.49617286687722384,0.49617286687722384
10,0.48745718453154174,0.48745718453154174
11,0.4974423438443185,0.4974423438443185
12,0.4641016151377546,0.4641016151377546
13,0.49817054914626047,0.49817054914626047
14,0.493652404307133,0.493652404307133
15,0.49862671233531,0.49862671233531
16,0.5,0.4802169350517099
17,0.4989312645552614,0.4989312645552614
18,0.49617286687722384,0.49617286687722384
19,0.49914466254613976,0.49914466254613976
20,0.48745718453154174,0.48745718453154174
21,0.49929997058318076,0.49929997058318076
22,0.4974423438443185,0.4974423438443185
23,0.49941651217523775,0.49941651217523775
24,0.5,0.4913338099395004
25,0.49950619490128634,0.49950619490128634
26,0.49817054914626047,0.49817054914626047
27,0.4995766814738435,0.4995766814738435
28,0.493652404307133,0.493652404307133
29,0.4996330844061171,0.4996330844061171
30,0.49862671233531,0.49862671233531
31,0.49967892074130016,0.49967892074130016
32,0.5,0.49514972173236826
33,0.49971667433981526,0.49971667433981526
34,0.4989312645552614,0.4989312645552614
35,0.49974813983211364,0.49974813983211364
36,0.49617286687722384,0.49617286687722384
37,0.49977464002269256,0.49977464002269256
38,0.49914466254613976,0.49914466254613976
39,0.49979716729404466,0.49979716729404466
40,0.5,0.49690302067144587
41,0.499816477926715,0.499816477926715
42,0.49929997058318076,0.49929997058318076
43,0.49983315643758264,0.49983315643758264
44,0.4974423438443185,0.4974423438443185
45,0.49984766035417594,0.49984766035417594
46,0.49941651217523775,0.49941651217523775
47,0.4998603519402929,0.4998603519402929
48,0.5,0.4978520272410937
49,0.4998715210449691,0.4998715210449691
50,0.49950619490128634,0.49950619490128634
51,0.49988140180394824,0.49988140180394824
52,0.49817054914626047,0.49817054914626047
53,0.4998901850138323,0.4998901850138323
54,0.4995766814738435,0.4995766814738435
55,0.4998980274144714,0.4998980274144714
56,0.5,0.4984230948490068
57,0.49990505873197166,0.49990505873197166
58,0.4996330844061171,0.4996330844061171
59,0.4999113870791464,0.4999113870791464
60,0.49862671233531,0.49862671233531
61,0.4999171031370767,0.4999171031370767
62,0.49967892074130016,0.49967892074130016
63,0.49992228342234857,0.49992228342234857
64,0.5,0.4987932763158641
65,0.49992699286152,0.49992699286152
66,0.49971667433981526,0.49971667433981526
67,0.4999312868357536,0.4999312868357536
68,0.4989312645552614,0.4989312645552614
69,0.49993521281666664,0.49993521281666664
70,0.49974813983211364,0.49974813983211364
71,0.49993881168420706,0.49993881168420706
72,0.5,0.4990468610321699
73,0.4999421187952805,0.4999421187952805
74,0.49977464002269256,0.49977464002269256
75,0.4999451648555847,0.4999451648555847
76,0.49914466254613976,0.49914466254613976
77,0.4999479766350038,0.4999479766350038
78,0.49979716729404466,0.49979716729404466
79,0.49995057755784367,0.49995057755784367
80,0.5,0.49922814374566293
81,0.4999529881923208,0.4999529881923208
82,0.499816477926715,0.499816477926715
83,0.4999552266584891,0.4999552266584891
84,0.49929997058318076,0.49929997058318076
85,0.4999573089697763,0.4999573089697763
86,0.49983315643758264,0.49983315643758264
87,0.4999592493201951,0.4999592493201951
88,0.5,0.4993622161524899
89,0.4999610603268895,0.4999610603268895
90,0.49984766035417594,0.49984766035417594
91,0.4999627532357762,0.4999627532357762
92,0.49941651217523775,0.49941651217523775
93,0.49996433809656615,0.49996433809656615
94,0.4998603519402929,0.4998603519402929
95,0.49996582391226696,0.49996582391226696
96,0.5,0.4994641571693347
97,0.4999672187673305,0.4999672187673305
98,0.4998715210449691,0.4998715210449691
99,0.4999685299378638,0.4999685299378638
100,0.49950619490128634,0.49950619490128634
